"Freq [GHz]","dB(S(1,1)) []"
2.332,-2.06315993287379
2.333,-2.08700108089272
2.334,-2.11132337534323
2.335,-2.1361389594543
2.336,-2.16146033745798
2.337,-2.18730038681503
2.338,-2.21367237090565
2.339,-2.24058995220547
2.34,-2.26806720596824
2.341,-2.296118634437
2.342,-2.32475918160774
2.343,-2.35400424856965
2.344,-2.38386970944847
2.345,-2.41437192798009
2.346,-2.44552777474347
2.347,-2.47735464508341
2.348,-2.50987047775572
2.349,-2.54309377432867
2.35,-2.57704361937731
2.351,-2.61173970150884
2.352,-2.64720233525978
2.353,-2.68345248390836
2.354,-2.72051178324784
2.355,-2.75840256636983
2.356,-2.79714788950952
2.357,-2.83677155900838
2.358,-2.87729815945349
2.359,-2.91875308305653
2.36,-2.96116256034028
2.361,-3.00455369220463
2.362,-3.04895448344965
2.363,-3.09439387783904
2.364,-3.14090179479263
2.365,-3.18850916780447
2.366,-3.23724798468919
2.367,-3.28715132976804
2.368,-3.33825342811472
2.369,-3.39058969199013
2.37,-3.44419676960656
2.371,-3.49911259637264
2.372,-3.55537644878335
2.373,-3.61302900113377
2.374,-3.67211238524963
2.375,-3.73267025344596
2.376,-3.79474784494267
2.377,-3.85839205598739
2.378,-3.92365151395863
2.379,-3.99057665574679
2.38,-4.05921981074013
2.381,-4.12963528877225
2.382,-4.20187947342304
2.383,-4.27601092110341
2.384,-4.35209046639574
2.385,-4.43018133417078
2.386,-4.51034925905305
2.387,-4.59266261286676
2.388,-4.67719254075952
2.389,-4.7640131067742
2.39,-4.85320144972237
2.391,-4.94483795030358
2.392,-5.03900641051884
2.393,-5.1357942465416
2.394,-5.23529269634006
2.395,-5.33759704349071
2.396,-5.44280685878766
2.397,-5.55102626143745
2.398,-5.66236420184036
2.399,-5.77693476819347
2.4,-5.89485751942128
2.401,-6.01625784724159
2.402,-6.14126737051959
2.403,-6.27002436545445
2.404,-6.40267423558613
2.405,-6.53937002611821
2.406,-6.68027298762761
2.407,-6.82555319489056
2.408,-6.97539022730602
2.409,-7.12997391825372
2.41,-7.28950518170617
2.411,-7.45419692553592
2.412,-7.62427506223809
2.413,-7.79997962925818
2.414,-7.98156603278356
2.415,-8.1693064307672
2.416,-8.36349127311891
2.417,-8.5644310194541
2.418,-8.77245805755616
2.419,-8.98792884879462
2.42,-9.21122633015044
2.421,-9.44276260619669
2.422,-9.68298196828636
2.423,-9.93236428215486
2.424,-10.1914287888543
2.425,-10.4607383669162
2.426,-10.740904305062
2.427,-11.0325916333067
2.428,-11.3365250537907
2.429,-11.6534954976449
2.43,-11.9843673051594
2.431,-12.3300859746314
2.432,-12.6916863363944
2.433,-13.0703008599823
2.434,-13.467167557511
2.435,-13.8836365458187
2.436,-14.3211736770076
2.437,-14.7813585836898
2.438,-15.2658727524008
2.439,-15.7764704119357
2.44,-16.3149204121072
2.441,-16.882899766467
2.442,-17.4818074295098
2.443,-18.1124477222748
2.444,-18.7745036847751
2.445,-19.4656799141819
2.446,-20.1803481838962
2.447,-20.907508679492
2.448,-21.6279813031335
2.449,-22.3111849272894
2.45,-22.9129706561047
2.451,-23.3777192732515
2.452,-23.6486386951081
2.453,-23.686154697347
2.454,-23.4850260394846
2.455,-23.0768602528032
2.456,-22.5158128694821
2.457,-21.8592269509716
2.458,-21.1548153442783
2.459,-20.4366946618812
2.46,-19.7267938748735
2.461,-19.0380012681057
2.462,-18.3771508037536
2.463,-17.7472695070339
2.464,-17.1490984362306
2.465,-16.5820655123777
2.466,-16.0448873449703
2.467,-15.5359330262882
2.468,-15.0534394631533
2.469,-14.5956355743575
2.47,-14.1608111258967
